ID;Frame Entrada;Frame Saida;Tempo no Video;Tamanho
1232;6;12;6;1085
2155;12;14;2;3472
2178;12;16;4;1458
2522;14;17;3;121
1899;10;17;7;10384
2545;14;17;3;126
2974;17;19;2;846
3094;20;22;2;140
3052;19;23;4;888
3134;21;23;2;820
3155;21;24;3;460
3194;22;24;2;210
3209;22;24;2;120
3124;20;24;4;342
1770;9;26;17;2146
2997;18;26;8;2813
1543;8;27;19;14112
1492;8;27;19;1066
2612;15;27;12;7410
3196;22;29;7;154
3507;26;30;4;144
3571;27;30;3;150
3604;27;30;3;144
91;0;31;31;8165
129;0;31;31;10250
2177;12;31;19;6600
2973;17;31;14;1444
3630;27;31;4;120
3717;28;31;3;8316
4001;30;31;1;143
4037;30;31;1;143
4180;31;31;0;1656
4197;31;31;0;162
4199;31;31;0;152
4202;31;31;0;5520
4203;31;31;0;1166
4204;31;31;0;630
4209;31;31;0;234
4214;31;31;0;136
4219;31;31;0;112
4220;31;31;0;742
4221;31;31;0;588
4222;31;31;0;510
4223;31;31;0;494
4224;31;31;0;420
4225;31;31;0;350
4226;31;31;0;320
4227;31;31;0;315
4228;31;31;0;275
4229;31;31;0;256
4230;31;31;0;240
4231;31;31;0;221
4232;31;31;0;192
4233;31;31;0;180
4234;31;31;0;171
4235;31;31;0;165
4236;31;31;0;165
4237;31;31;0;140
